epsilon1 epsilon2 fB
-0.882 2.818 0.10
-0.882 2.859 0.10
-0.882 2.899 0.10
-0.882 2.939 0.10
-0.882 2.980 0.10
-0.882 3.020 0.10
-0.882 3.061 0.10
-0.882 3.101 0.10
-0.882 3.141 0.10
-0.882 3.182 0.10
-0.882 3.222 0.10
-0.882 3.263 0.10
-0.882 3.303 0.10
-0.882 3.343 0.10
-0.882 3.384 0.10
-0.882 3.424 0.10
-0.882 3.465 0.10
-0.882 3.505 0.10
-0.882 3.545 0.10
-0.882 3.586 0.10
-0.882 3.626 0.10
-0.882 3.667 0.10
-0.882 3.707 0.10
-0.882 3.747 0.10
-0.882 3.788 0.10
-0.882 3.828 0.10
-0.882 3.869 0.10
-0.882 3.909 0.10
-0.882 3.949 0.10
-0.882 3.990 0.10
-0.882 4.030 0.10
-0.882 4.071 0.10
-0.882 4.111 0.10
-0.882 4.152 0.10
-0.882 4.192 0.10
-0.882 4.232 0.10
-0.882 4.273 0.10
-0.882 4.313 0.10
-0.882 4.354 0.10
-0.882 4.394 0.10
-0.882 4.434 0.10
-0.882 4.475 0.10
-0.882 4.515 0.10
-0.882 4.556 0.10
-0.882 4.596 0.10
-0.882 4.636 0.10
-0.882 4.677 0.10
-0.882 4.717 0.10
-0.882 4.758 0.10
-0.882 4.798 0.10
-0.882 4.838 0.10
-0.882 4.879 0.10
-0.882 4.919 0.10
-0.882 4.960 0.10
-0.882 5.000 0.10
-0.873 1.000 0.10
-0.873 1.040 0.10
-0.873 1.081 0.10
-0.873 1.121 0.10
-0.873 1.162 0.10
-0.873 1.202 0.10
-0.873 1.242 0.10
-0.873 1.283 0.10
-0.873 1.323 0.10
-0.873 1.364 0.10
-0.873 1.404 0.10
-0.873 1.444 0.10
-0.873 1.485 0.10
-0.873 1.525 0.10
-0.873 1.566 0.10
-0.873 1.606 0.10
-0.873 1.646 0.10
-0.873 1.687 0.10
-0.873 1.727 0.10
-0.873 1.768 0.10
-0.873 1.808 0.10
-0.873 1.848 0.10
-0.873 1.889 0.10
-0.873 1.929 0.10
-0.873 1.970 0.10
-0.873 2.010 0.10
-0.873 2.051 0.10
-0.873 2.091 0.10
-0.873 2.131 0.10
-0.873 2.172 0.10
-0.873 2.212 0.10
-0.873 2.253 0.10
-0.873 2.293 0.10
-0.873 2.333 0.10
-0.873 2.374 0.10
-0.873 2.414 0.10
-0.873 2.455 0.10
-0.873 2.495 0.10
-0.873 2.535 0.10
-0.873 2.576 0.10
-0.873 2.616 0.10
-0.873 2.657 0.10
-0.873 2.697 0.10
-0.873 2.737 0.10
-0.873 2.778 0.10
-0.873 2.818 0.10
-0.873 2.859 0.10
-0.873 2.899 0.10
-0.873 2.939 0.10
-0.873 2.980 0.10
-0.873 3.020 0.10
-0.873 3.061 0.10
-0.873 3.101 0.10
-0.873 3.141 0.10
-0.873 3.182 0.10
-0.873 3.222 0.10
-0.873 3.263 0.10
-0.873 3.303 0.10
-0.873 3.343 0.10
-0.873 3.384 0.10
-0.873 3.424 0.10
-0.873 3.465 0.10
-0.873 3.505 0.10
-0.873 3.545 0.10
-0.873 3.586 0.10
-0.873 3.626 0.10
-0.873 3.667 0.10
-0.873 3.707 0.10
-0.873 3.747 0.10
-0.873 3.788 0.10
-0.873 3.828 0.10
-0.873 3.869 0.10
-0.873 3.909 0.10
-0.873 3.949 0.10
-0.873 3.990 0.10
-0.873 4.030 0.10
-0.873 4.071 0.10
-0.873 4.111 0.10
-0.873 4.152 0.10
-0.873 4.192 0.10
-0.873 4.232 0.10
-0.873 4.273 0.10
-0.873 4.313 0.10
-0.873 4.354 0.10
-0.873 4.394 0.10
-0.873 4.434 0.10
-0.873 4.475 0.10
-0.873 4.515 0.10
-0.873 4.556 0.10
-0.873 4.596 0.10
-0.873 4.636 0.10
-0.873 4.677 0.10
-0.873 4.717 0.10
-0.873 4.758 0.10
-0.873 4.798 0.10
-0.873 4.838 0.10
-0.873 4.879 0.10
-0.873 4.919 0.10
-0.873 4.960 0.10
-0.873 5.000 0.10
-0.864 1.000 0.10
-0.864 1.040 0.10
-0.864 1.081 0.10
-0.864 1.121 0.10
-0.864 1.162 0.10
-0.864 1.202 0.10
-0.864 1.242 0.10
-0.864 1.283 0.10
-0.864 1.323 0.10
-0.864 1.364 0.10
-0.864 1.404 0.10
-0.864 1.444 0.10
-0.864 1.485 0.10
-0.864 1.525 0.10
-0.864 1.566 0.10
-0.864 1.606 0.10
-0.864 1.646 0.10
-0.864 1.687 0.10
-0.864 1.727 0.10
-0.864 1.768 0.10
-0.864 1.808 0.10
-0.864 1.848 0.10
-0.864 1.889 0.10
-0.864 1.929 0.10
-0.864 1.970 0.10
-0.864 2.010 0.10
-0.864 2.051 0.10
-0.864 2.091 0.10
-0.864 2.131 0.10
-0.864 2.172 0.10
-0.864 2.212 0.10
-0.864 2.253 0.10
-0.864 2.293 0.10
-0.864 2.333 0.10
-0.864 2.374 0.10
-0.864 2.414 0.10
-0.864 2.455 0.10
-0.864 2.495 0.10
-0.864 2.535 0.10
-0.864 2.576 0.10
-0.864 2.616 0.10
-0.864 2.657 0.10
-0.864 2.697 0.10
-0.864 2.737 0.10
-0.864 2.778 0.10
-0.864 2.818 0.10
-0.864 2.859 0.10
-0.864 2.899 0.10
-0.864 2.939 0.10
-0.864 2.980 0.10
-0.864 3.020 0.10
-0.864 3.061 0.10
-0.864 3.101 0.10
-0.864 3.141 0.10
-0.864 3.182 0.10
-0.864 3.222 0.10
-0.864 3.263 0.10
-0.864 3.303 0.10
-0.864 3.343 0.10
-0.864 3.384 0.10
-0.864 3.424 0.10
-0.864 3.465 0.10
-0.864 3.505 0.10
-0.864 3.545 0.10
-0.864 3.586 0.10
-0.864 3.626 0.10
-0.864 3.667 0.10
-0.864 3.707 0.10
-0.864 3.747 0.10
-0.864 3.788 0.10
