,i,coeff,abs,term
171,129,-0.008383,0.008383,epsilon1^5 fB
170,135,-0.008234,0.008234,epsilon1^4 fB^2
29,126,0.007742,0.007742,epsilon1^6
169,69,-0.006979000000000001,0.006979000000000001,fB^4
30,136,0.0061990000000000005,0.0061990000000000005,epsilon1^3 epsilon2^3
168,60,-0.0047009999999999994,0.0047009999999999994,epsilon2^2 fB^2
31,145,0.00455,0.00455,epsilon1^3 fB^3
167,161,-0.004534000000000001,0.004534000000000001,epsilon1 epsilon2^5
166,130,-0.0044009999999999995,0.0044009999999999995,epsilon1^4 epsilon2^2
32,146,0.0043630000000000006,0.0043630000000000006,epsilon1^2 epsilon2^4
33,127,0.00391,0.00391,epsilon1^5 epsilon2
165,182,-0.003243,0.003243,epsilon2^6
34,187,0.0029,0.0029,epsilon2^4 fB^2
164,184,-0.002397,0.002397,epsilon2^5 fB
35,107,0.001991,0.001991,epsilon2^4 fB
36,196,0.001179,0.001179,epsilon2^2 fB^4
128,176,0.0,0.0,epsilon1 sigma^5
129,198,0.0,0.0,epsilon2 sigma^4 fB
141,133,0.0,0.0,epsilon1^4 sigma^2
126,197,0.0,0.0,epsilon2 sigma^5
143,131,0.0,0.0,epsilon1^4 epsilon2 sigma
140,137,0.0,0.0,epsilon1^3 epsilon2^2 sigma
139,124,0.0,0.0,sigma fB^4
138,134,0.0,0.0,epsilon1^4 sigma fB
137,158,0.0,0.0,epsilon1^2 sigma^2 fB^2
136,153,0.0,0.0,epsilon1^2 epsilon2 sigma^2 fB
135,199,0.0,0.0,epsilon2 sigma^3 fB^2
134,177,0.0,0.0,epsilon1 sigma^4 fB
133,178,0.0,0.0,epsilon1 sigma^3 fB^2
132,179,0.0,0.0,epsilon1 sigma^2 fB^3
127,185,0.0,0.0,epsilon2^4 sigma^2
131,180,0.0,0.0,epsilon1 sigma fB^4
130,183,0.0,0.0,epsilon2^5 sigma
142,205,0.0,0.0,sigma^4 fB^2
158,150,0.0,0.0,epsilon1^2 epsilon2^2 sigma fB
144,206,0.0,0.0,sigma^3 fB^3
155,115,0.0,0.0,epsilon2 sigma^4
124,189,0.0,0.0,epsilon2^3 sigma^2 fB
163,144,0.0,0.0,epsilon1^3 sigma fB^2
162,147,0.0,0.0,epsilon1^2 epsilon2^3 sigma
161,142,0.0,0.0,epsilon1^3 sigma^3
160,149,0.0,0.0,epsilon1^2 epsilon2^2 sigma^2
159,143,0.0,0.0,epsilon1^3 sigma^2 fB
157,195,0.0,0.0,epsilon2^2 sigma fB^3
156,139,0.0,0.0,epsilon1^3 epsilon2 sigma^2
154,116,0.0,0.0,epsilon2 sigma^3 fB
145,128,0.0,0.0,epsilon1^5 sigma
153,117,0.0,0.0,epsilon2 sigma^2 fB^2
152,118,0.0,0.0,epsilon2 sigma fB^3
151,120,0.0,0.0,sigma^5
150,121,0.0,0.0,sigma^4 fB
149,122,0.0,0.0,sigma^3 fB^2
148,140,0.0,0.0,epsilon1^3 epsilon2 sigma fB
147,123,0.0,0.0,sigma^2 fB^3
146,207,0.0,0.0,sigma^2 fB^4
125,188,0.0,0.0,epsilon2^3 sigma^3
106,204,0.0,0.0,sigma^5 fB
123,190,0.0,0.0,epsilon2^3 sigma fB^2
67,23,0.0,0.0,epsilon1 sigma fB
59,102,0.0,0.0,epsilon1 sigma^2 fB^2
60,103,0.0,0.0,epsilon1 sigma fB^3
61,97,0.0,0.0,epsilon1 epsilon2 sigma^2 fB
62,28,0.0,0.0,epsilon2 sigma^2
63,78,0.0,0.0,epsilon1^3 sigma fB
64,43,0.0,0.0,epsilon1^2 sigma fB
65,52,0.0,0.0,epsilon1 sigma^2 fB
66,51,0.0,0.0,epsilon1 sigma^3
68,49,0.0,0.0,epsilon1 epsilon2 sigma fB
57,100,0.0,0.0,epsilon1 sigma^4
69,48,0.0,0.0,epsilon1 epsilon2 sigma^2
70,46,0.0,0.0,epsilon1 epsilon2^2 sigma
71,42,0.0,0.0,epsilon1^2 sigma^2
72,77,0.0,0.0,epsilon1^3 sigma^2
73,40,0.0,0.0,epsilon1^2 epsilon2 sigma
74,26,0.0,0.0,epsilon2^2 sigma
75,37,0.0,0.0,epsilon1^3 sigma
76,33,0.0,0.0,sigma fB^2
58,101,0.0,0.0,epsilon1 sigma^3 fB
56,106,0.0,0.0,epsilon2^4 sigma
122,192,0.0,0.0,epsilon2^2 sigma^4
45,83,0.0,0.0,epsilon1^2 epsilon2 sigma^2
37,12,0.0,0.0,sigma^2
38,88,0.0,0.0,epsilon1^2 sigma fB^2
39,87,0.0,0.0,epsilon1^2 sigma^2 fB
40,86,0.0,0.0,epsilon1^2 sigma^3
41,3,0.0,0.0,sigma
42,10,0.0,0.0,epsilon2 sigma
43,109,0.0,0.0,epsilon2^3 sigma fB
44,84,0.0,0.0,epsilon1^2 epsilon2 sigma fB
46,13,0.0,0.0,sigma fB
55,98,0.0,0.0,epsilon1 epsilon2 sigma fB^2
47,81,0.0,0.0,epsilon1^2 epsilon2^2 sigma
48,108,0.0,0.0,epsilon2^3 sigma^2
49,91,0.0,0.0,epsilon1 epsilon2^3 sigma
50,7,0.0,0.0,epsilon1 sigma
51,208,0.0,0.0,sigma fB^5
52,93,0.0,0.0,epsilon1 epsilon2^2 sigma^2
53,94,0.0,0.0,epsilon1 epsilon2^2 sigma fB
54,96,0.0,0.0,epsilon1 epsilon2 sigma^3
77,32,0.0,0.0,sigma^2 fB
78,31,0.0,0.0,sigma^3
79,53,0.0,0.0,epsilon1 sigma fB^2
112,159,0.0,0.0,epsilon1^2 sigma fB^3
102,172,0.0,0.0,epsilon1 epsilon2 sigma^3 fB
103,171,0.0,0.0,epsilon1 epsilon2 sigma^4
104,169,0.0,0.0,epsilon1 epsilon2^2 sigma fB^2
107,167,0.0,0.0,epsilon1 epsilon2^2 sigma^3
108,201,0.0,0.0,epsilon2 sigma fB^4
109,165,0.0,0.0,epsilon1 epsilon2^3 sigma fB
110,164,0.0,0.0,epsilon1 epsilon2^3 sigma^2
111,162,0.0,0.0,epsilon1 epsilon2^4 sigma
113,157,0.0,0.0,epsilon1^2 sigma^3 fB
80,56,0.0,0.0,epsilon2^3 sigma
114,156,0.0,0.0,epsilon1^2 sigma^4
115,154,0.0,0.0,epsilon1^2 epsilon2 sigma fB^2
116,203,0.0,0.0,sigma^6
117,200,0.0,0.0,epsilon2 sigma^2 fB^3
118,152,0.0,0.0,epsilon1^2 epsilon2 sigma^3
119,186,0.0,0.0,epsilon2^4 sigma fB
120,194,0.0,0.0,epsilon2^2 sigma^2 fB^2
121,193,0.0,0.0,epsilon2^2 sigma^3 fB
101,173,0.0,0.0,epsilon1 epsilon2 sigma^2 fB^2
100,174,0.0,0.0,epsilon1 epsilon2 sigma fB^3
99,113,0.0,0.0,epsilon2^2 sigma fB^2
98,112,0.0,0.0,epsilon2^2 sigma^2 fB
81,22,0.0,0.0,epsilon1 sigma^2
82,58,0.0,0.0,epsilon2^2 sigma^2
83,59,0.0,0.0,epsilon2^2 sigma fB
84,61,0.0,0.0,epsilon2 sigma^3
85,111,0.0,0.0,epsilon2^2 sigma^3
86,20,0.0,0.0,epsilon1 epsilon2 sigma
87,63,0.0,0.0,epsilon2 sigma fB^2
88,65,0.0,0.0,sigma^4
89,66,0.0,0.0,sigma^3 fB
90,67,0.0,0.0,sigma^2 fB^2
91,68,0.0,0.0,sigma fB^3
92,72,0.0,0.0,epsilon1^4 sigma
93,17,0.0,0.0,epsilon1^2 sigma
94,75,0.0,0.0,epsilon1^3 epsilon2 sigma
95,29,0.0,0.0,epsilon2 sigma fB
96,62,0.0,0.0,epsilon2 sigma^2 fB
97,0,0.0,0.0,1
105,168,0.0,0.0,epsilon1 epsilon2^2 sigma^2 fB
