,i,coeff,abs,term
0,21,0.8066760000000001,0.8066760000000001,epsilon1 epsilon2 fB
1,8,0.638518,0.638518,epsilon1 fB
209,11,-0.527374,0.527374,epsilon2 fB
208,30,-0.483641,0.483641,epsilon2 fB^2
2,1,0.35249400000000003,0.35249400000000003,epsilon1
207,18,-0.33381700000000003,0.33381700000000003,epsilon1^2 fB
206,4,-0.316349,0.316349,fB
205,2,-0.28389200000000003,0.28389200000000003,epsilon2
204,9,-0.27015300000000003,0.27015300000000003,epsilon2^2
3,6,0.249259,0.249259,epsilon1 epsilon2
203,5,-0.22865700000000003,0.22865700000000003,epsilon1^2
4,50,0.22360500000000003,0.22360500000000003,epsilon1 epsilon2 fB^2
202,99,-0.211441,0.211441,epsilon1 epsilon2 fB^3
5,24,0.205508,0.205508,epsilon1 fB^2
201,41,-0.196757,0.196757,epsilon1^2 epsilon2 fB
200,14,-0.162913,0.162913,fB^2
6,119,0.143769,0.143769,epsilon2 fB^4
199,54,-0.14335,0.14335,epsilon1 fB^3
7,82,0.135501,0.135501,epsilon1^2 epsilon2^2 fB
198,16,-0.12862300000000002,0.12862300000000002,epsilon1^2 epsilon2
8,25,0.12503699999999998,0.12503699999999998,epsilon2^3
197,92,-0.102101,0.102101,epsilon1 epsilon2^3 fB
9,89,0.09504299999999999,0.09504299999999999,epsilon1^2 fB^3
196,45,-0.09396,0.09396,epsilon1 epsilon2^3
10,155,0.092919,0.092919,epsilon1^2 epsilon2 fB^3
11,39,0.08333600000000001,0.08333600000000001,epsilon1^2 epsilon2^2
12,15,0.08013300000000001,0.08013300000000001,epsilon1^3
13,57,0.073046,0.073046,epsilon2^3 fB
195,104,-0.07159299999999999,0.07159299999999999,epsilon1 fB^4
194,95,-0.06911,0.06911,epsilon1 epsilon2^2 fB^2
193,27,-0.06722,0.06722,epsilon2^2 fB
192,175,-0.06680499999999999,0.06680499999999999,epsilon1 epsilon2 fB^4
191,44,-0.063354,0.063354,epsilon1^2 fB^2
190,55,-0.062457000000000006,0.062457000000000006,epsilon2^4
14,38,0.05999500000000001,0.05999500000000001,epsilon1^3 fB
189,47,-0.056235,0.056235,epsilon1 epsilon2^2 fB
188,64,-0.048345,0.048345,epsilon2 fB^3
15,36,0.045801999999999995,0.045801999999999995,epsilon1^3 epsilon2
16,151,0.04315,0.04315,epsilon1^2 epsilon2^2 fB^2
17,90,0.04287,0.04287,epsilon1 epsilon2^4
18,202,0.041809,0.041809,epsilon2 fB^5
187,19,-0.040167,0.040167,epsilon1 epsilon2^2
186,74,-0.038058999999999996,0.038058999999999996,epsilon1^3 epsilon2^2
185,35,-0.038038999999999996,0.038038999999999996,epsilon1^4
19,160,0.033124,0.033124,epsilon1^2 fB^4
20,85,0.031214999999999996,0.031214999999999996,epsilon1^2 epsilon2 fB^2
21,110,0.028875,0.028875,epsilon2^3 fB^2
184,166,-0.028599,0.028599,epsilon1 epsilon2^3 fB^2
183,73,-0.028114999999999998,0.028114999999999998,epsilon1^4 fB
22,209,0.026668,0.026668,fB^6
182,141,-0.026588,0.026588,epsilon1^3 epsilon2 fB^2
23,105,0.022258,0.022258,epsilon2^5
24,125,0.021405,0.021405,fB^5
181,80,-0.017531,0.017531,epsilon1^2 epsilon2^3
180,79,-0.016284,0.016284,epsilon1^3 fB^2
179,71,-0.016271,0.016271,epsilon1^4 epsilon2
178,132,-0.015671,0.015671,epsilon1^4 epsilon2 fB
25,191,0.015405,0.015405,epsilon2^3 fB^3
177,34,-0.015271000000000002,0.015271000000000002,fB^3
26,76,0.014925999999999998,0.014925999999999998,epsilon1^3 epsilon2 fB
27,163,0.01464,0.01464,epsilon1 epsilon2^4 fB
176,170,-0.011144,0.011144,epsilon1 epsilon2^2 fB^3
175,148,-0.010939,0.010939,epsilon1^2 epsilon2^3 fB
28,70,0.010487,0.010487,epsilon1^5
174,181,-0.010004,0.010004,epsilon1 fB^5
173,114,-0.009412,0.009412,epsilon2^2 fB^3
172,138,-0.009152,0.009152,epsilon1^3 epsilon2^2 fB
